# 1station, 2Longitude, 3Latitude, 4NumberOfMeasurements, 5ResultantLength, 6FastDirection(EastOfNorth), 7DelayTime, 8StdOfDelayTime
       SBC, -119.71492,   34.44076,        106,     0.47,     61.0,    0.146,    0.104
       SBI, -119.02986,   33.48046,         18,     0.33,    -86.2,    0.122,    0.048
      SBPX, -117.23484,   34.23240,        248,     0.18,    -58.8,    0.172,    0.167
       SCI, -118.54697,   32.97990,          2,     1.00,     -3.5,    0.454,    0.000
      SCI2, -118.54697,   32.97990,         18,     0.57,      5.5,    0.043,    0.031
      SCZ2, -119.63510,   33.99543,         14,     0.66,     38.7,    0.194,    0.091
       SDD, -117.66171,   33.55259,         58,     0.52,     35.0,    0.046,    0.028
       SDG, -117.13805,   32.78400,         12,     0.33,      4.0,    0.129,    0.156
       SDR, -116.94241,   32.73561,         44,     0.41,    -13.0,    0.074,    0.062
       SES, -119.13750,   34.43692,        556,     0.26,     -9.0,    0.140,    0.116
       SGL, -115.72638,   32.64933,        172,     0.67,    -17.5,    0.071,    0.058
      SHCM, -115.76243,   32.64823,       7824,     0.58,      8.0,    0.105,    0.065
      SHF2, -115.70393,   32.93328,         28,     0.13,     27.0,    0.102,    0.111
      SHF7, -115.71800,   32.94397,         18,     0.38,    -62.5,    0.076,    0.063
       SHO, -116.27515,   35.89960,          4,     0.02,     56.0,    0.036,    0.020
       SHU, -118.16454,   34.64279,          4,     0.73,      9.0,    0.050,    0.046
       SIO, -119.16460,   34.29300,         24,     0.12,     -2.5,    0.189,    0.146
       SIP, -118.78073,   34.20453,        128,     0.18,    -15.5,    0.159,    0.110
       SJU, -117.68114,   33.48725,          4,     0.60,    -36.0,    0.035,    0.014
       SLA, -117.28332,   35.89095,        452,     0.30,    -54.0,    0.151,    0.148
       SLB, -115.86643,   33.48519,        156,     0.65,     29.7,    0.075,    0.070
       SLH, -116.25399,   33.19269,         84,     0.64,      5.5,    0.108,    0.059
       SLM, -118.42267,   34.45227,          2,     1.00,      6.0,    0.083,    0.000
       SLR, -116.79737,   33.83359,      14526,     0.28,    -60.0,    0.110,    0.115
      SMER, -117.17080,   33.45770,         72,     0.21,    -64.3,    0.081,    0.078
       SMF, -118.44675,   34.02159,         76,     0.24,     15.0,    0.121,    0.101
      SMF2, -118.44629,   34.02199,        334,     0.62,     11.0,    0.091,    0.084
       SMM, -119.99581,   35.31420,         28,     0.74,     51.0,    0.090,    0.062
       SMR, -120.61247,   35.37699,         24,     0.45,    -32.0,    0.070,    0.055
       SMS, -118.45617,   34.01438,        730,     0.51,     20.0,    0.086,    0.071
       SMV, -118.74407,   34.27091,        192,     0.04,    -49.0,    0.088,    0.080
       SMW, -120.40997,   35.01108,          6,     1.00,    -35.5,    0.048,    0.001
      SNCC, -119.52437,   33.24787,         10,     0.65,     56.9,    0.065,    0.035
       SND, -118.30286,   35.14264,      30298,     0.38,     15.0,    0.125,    0.092
       SNO, -116.80778,   34.03515,       6126,     0.36,    -72.0,    0.146,    0.085
       SNR, -115.43596,   32.86189,        292,     0.44,    -12.0,    0.109,    0.100
       SOF, -117.55740,   33.37055,          2,     1.00,     27.5,    0.094,    0.000
       SOL, -117.24800,   32.84100,         30,     0.31,     62.5,    0.123,    0.074
       SOT, -118.44900,   34.41600,         40,     0.67,     46.2,    0.126,    0.183
